Album,Song,Lyrics
,,"It's not too late to infiltrate, the servants are just leavin'"
,,
,,"Mary queen of Arkansas, your white skin is deceivin'"
,,You wake and wait to lie in bait and you almost got me believin'
,,But on your bed Mary I can see the shadow of a noose
,,I don't understand how you can hold me so tight and love me so damn loose
,,
,,But I know a place where we can go Mary
,,Where I can get a good job and start all over again clean
,,I got contacts deep in Mexico where the servants have been seenØ
,Does this Bus Stop at 82nd Street?,"Hey bus driver keep the change, bless your children, give them names,"
,,don't trust men who walk with canes
,,drink this and you'll grow wings on your feet
,,"Broadway Mary, Joan Fontaine, advertiser on a downtown train"
,,"Christmas crier bustin' cane, he's in love again."
,,
,,Where dock worker's dreams mix with panther's schemes to someday own the rodeo
,,Tainted women in Vistavision perform for out-of-state kids at the late show.
,,
,,"Wizard imps and sweat sock pimps, interstellar mongrel nymphs"
,,Rex said that lady left him limp. Love's like that (sure it is).
,,"Queen of diamonds, ace of spades, newly discovered lovers of the everglades"
,,They take out a full page ad in the trades to announce their arrival
,,"And Mary Lou she found out how to cope, she rides to heaven on a gyroscope"
,,The Daily News asks her for the dope
,,"She says ""Man, the dope's that there's still hope""."
,,
,,"Senorita, Spanish rose, wipes her eyes and blows her nose"
,,"Uptown in Harlem she throw a rose to some lucky, young matador.Ø"
,Lost in the Flood,The ragamuffin gunner is returnin' home like a hungry runaway
,,He walks through town all alone
,,He must be from the fort he hears the high school girls say
,,His countryside's burnin' with wolfman fairies dressed in drag for homicide
,,"The hit and run, plead sanctuary, 'neath a holy stone they hide"
,,They're breakin' beams and crosses with a spastic's reelin' perfection
,,"nuns run bald through Vatican halls pregnant, pleadin' immaculate conception"
,,And everybody's wrecked on Main Street from drinking unholy blood
,,"Sticker smiles sweet as gunner breathes deep, his ankles caked in mud"
,,"And I said ""Hey, gunner man, that's quicksand, that's quicksand that ain't mud"
,,"Have you thrown your senses to the war or did you lose them in the flood?"""
,,
,,"That pure American brother, dull-eyed and empty-faced"
,,races Sundays in Jersey in a Chevy stock super eight
,,"He rides 'er low on the hip, on the side he's got Bound For Glory in red, white and blue flash paint"
,,"He leans on the hood telling racing stories, the kids call him Jimmy The Saint"
,,"Well the blaze and noise boy, he's gunnin' that bitch loaded to blastin' point"
,,He rides head first into a hurricane and disappears into a point
,,And there's nothin' left but some blood where the body fell
,,"That is, nothin' left that you could sell"
,,"just junk all across the horizon, a real highwayman's farewell"
,,"And he said ""Hey kid, you think that's oil? Man, that ain't oil that's blood"""
,,I wonder what he was thinking when he hit that storm
,,Or was he just lost in the flood?
,,Eighth Avenue sailors in satin shirts whisper in the air
,,"Some storefront incarnation of Maria, she's puttin' on me the stare"
,,and Bronx's best apostle stands with his hand on his own hardware
,,"Everything stops, you hear five, quick shots, the cops come up for air"
,,"And now the whiz-bang gang from uptown, they're shootin' up the street"
,,And that cat from the Bronx starts lettin' loose
,,but he gets blown right off his feet
,,And some kid comes blastin' round the corner but a cop puts him right away
,,He lays on the street holding his leg screaming something in Spanish
,,Still breathing when I walked away
,,"And somebody said ""Hey man did you see that? His body hit the street with such a beautiful thud"""
,,I wonder what the dude was sayin' or was he just lost in the flood?
,,"Hey man, did you see that, those poor cats are sure messed up"
,,"I wonder what they were gettin' into, or were they just lost in the flood?Ø"
,The Angel,"The angel rides with hunch-backed children, poison oozing from his engine"
,,"Wieldin' love as a lethal weapon, on his way to hubcap heaven"
,,"Baseball cards poked in his spokes, his boots in oil he's patiently soaked"
,,The roadside attendant nervously jokes as the angel's tires strokes his precious pavement
,,
,,The interstate's choked with nomadic hordes
,,in Volkswagen vans with full running boards dragging great anchors
,,Followin' dead-end signs into the sores
,,The angel rides by humpin' his hunk metal whore
,,
,,Madison Avenue's claim to fame in a trainer bra with eyes like rain
,,She rubs against the weather-beaten frame and asks the angel for his name
,,Off in the distance the marble dome
,,reflects across the flatlands with a naked feel off into parts unknown
,,The woman strokes his polished chrome and lies beside the angel's bones.
,For You,Princess cards she sends me with her regards
,,"barroom eyes shine vacancy, to see her you gotta look hard"
,,"Wounded deep in battle, I stand stuffed like some soldier undaunted"
,,"To her Cheshire smile. I'll stand on file, she's all I ever wanted."
,,But you let your blue walls get in the way of these facts
,,"honey, get your carpetbaggers off my back"
,,you wouldn't even give me time to cover my tracks.
,,"You said, ""Here's your mirror and your ball and jacks""."
,,"But they're not what I came for, and I'm sure you see that too"
,,"I came for you, for you, I came for you, but you did not need my urgency"
,,"I came for you, for you, I came for you, but your life was one long emergency"
,,"and your cloud line urges me, and my electric surges free"
,,
,,"Crawl into my ambulance, your pulse is getting weak"
,,reveal yourself all now to me girl while you've got the strength to speak
,,Cause they're waiting for you at Bellevue with their oxygen masks
,,But I could give it all to you now if only you could ask.
,,And don't call for your surgeon even he says it's too late
,,"It's not your lungs this time, it's your heart that holds your fate"
,,"Don't give me money, honey, I don't want it back"
,,you and your pony face and your union jack
,,well take your local joker and teach him how to act
,,I swear I was never that way even when I really cracked
,,Didn't you think I knew that you were born with the power of a locomotive
,,able to leap tall buildings in a single bound?
,,And your Chelsea suicide with no apparent motive
,,you could laugh and cry in a single sound.
,,
,,And your strength is devastating in the face of all these odds
,,Remember how I kept you waiting when it was my turn to be the god?
,,
,,You were not quite half so proud when I found you broken on the beach
,,Remember how I poured salt on your tongue and hung just out of reach
,,And the band they played the homecoming theme as I caressed your cheek
,,"That ragged, jagged melody she still clings to me like a leech."
,,But that medal you wore on your chest always got in the way
,,like a little girl with a trophy so soft to buy her way
,,We were both hitchhikers but you had your ear tuned to the roar
,,"of some metal-tempered engine on an alien, distant shore"
,,"So you, left to find a better reason than the one we were living for"
,,and it's not that nursery mouth I came back for
,,It's not the way you're stretched out on the floor
,,cause I've broken all your windows and I've rammed through all your doors
,,And who am I to ask you to lick my sores?
,,And you should know that's true...
,,"I came for you, for you, I came for you, but you did not need my urgency"
,,"I came for you, for you, I came for you, but your life was one long emergency"
,,"and your cloud line urges me, and my electric surges freeØ"
,Spirit in the Night,Crazy Janey and her mission man were back in the alley tradin' hands
,,'long came Wild Billy with his friend G-man all duded up for Saturday night
,,Well Billy slammed on his coaster brakes and said anybody wanna go on up to Greasy Lake
,,It's about a mile down on the dark side of route eighty-eight
,,I got a bottle of rose so let's try it
,,We'll pick up Hazy Davy and Killer Joe and I'll take you all out to where the gypsy angels go
,,They're built like light
,,and they dance like spirits in the night (all night) in the night (all night)
,,"Oh, you don't know what they can do to you"
,,"Spirits in the night (all night), in the night (all night)"
,,Stand right up now and let it shoot through you
,,
,,Well now Wild young Billy was a crazy cat and he shook some dust out of his coonskin cap.
,,"He said, ""Trust some of this it'll show you where you're at, or at least it'll help you really feel it"""
,,By the time we made it up to Greasy Lake I had my head out the window and Janey's fingers were in the cake
,,I think I really dug her 'cause I was too loose to fake
,,"I said, ""I'm hurt."" She said, ""Honey let me heal it""."
,,And we danced all night to a soul fairy band
,,and she kissed me just right like only a lonely angel can
,,"She felt so nice, just as soft as a spirit in the night (all night)"
,,In the night (all night). Janey don't know what she do to you
,,"Like a spirit in the night (all night), in the night (all night)"
,,Stand right up and let her shoot through me.
,,
,,Now the night was bright and the stars threw light on Billy and Davy
,,dancin' in the moonlight
,,They were down near the water in a stone mud fight
,,Killer Joe gone passed out on the lawn
,,"Well now Hazy Davy got really hurt, he ran into the lake in just his socks and a shirt"
,,Me and Crazy Janey was makin' love in the dirt singin' our birthday songs
,,Janey said it was time to go
,,"So we closed our eyes and said goodbye to gypsy angel row, felt so right"
,,"Together we moved like spirits in the night, all night"
,,Baby don't know what they can do to you
,,"Spirits in the night, all night"
,,Stand right up and let it shoot right through youØ
,It's So Hard to be a Saint in the City,I had skin like leather and the diamond-hard look of a cobra
,,I was born blue and weathered but I burst just like a supernova
,,I could walk like Brando right into the sun
,,Then dance just like a Casanova
,,With my blackjack and jacket and hair slicked sweet
,,Silver star studs on my duds like a Harley in heat
,,When I strut down the street I could hear its heartbeat
,,"The sisters fell back and said ""Don't that man look pretty"""
,,"The cripple on the corner cried out ""Nickels for your pity"""
,,Them gasoline boys downtown sure talk gritty
,,It's so hard to be a saint in the city
,,
,,"I was the king of the alley, mama, I could talk some trash"
,,I was the prince of the paupers crowned downtown at the beggar's bash
,,I was the pimp's main prophet I kept everything cool
,,Just a backstreet gambler with the luck to lose
,,And when the heat came down it was left on the ground
,,The devil appeared like Jesus through the steam in the street
,,Showin' me a hand I knew even the cops couldn't beat
,,I felt his hot breath on my neck as I dove into the heat
,,It's so hard to be a saint when you're just a boy out on the street
,,
,,And the sages of the subway sit just like the living dead
,,As the tracks clack out the rhythm their eyes fixed straight ahead
,,They ride the line of balance and hold on by just a thread
,,But it's too hot in these tunnels you can get hit up by the heat
,,You get up to get out at your next stop but they push you back down in your seat
,,Your heart starts beatin' faster as you struggle to your feet
,,Then you're outa that hole and back up on the street
,,
,,And them South Side sisters sure look pretty
,,"The cripple on the corner cries out ""Nickels for your pity"""
,,And them downtown boys sure talk gritty
,,It's so hard to be a saint in the cityØ
"The Wild, the Innocent, and the E Street Shuffle",The E Street Shuffle ,Sparks fly on E Street when the boy prophets walk it handsome and hotØ
,,All the little girls' souls grow weak when the man-child gives them a double shotØ
,,Them schoolboy pops pull out all the stops on a Friday nightØ
,,The teenage tramps in skintight pants do the E Street dance and everything's all rightØ
,,Well the kids down there are either dancing or hooked up in a scuffleØ
,,Dressed in snakeskin suits packed with Detroit muscleØ
,,They're doin' the E Street ShuffleØ
,,Now those E Street brats in twilight duel flash like phantoms in full star streamØ
,,Down fire trails on silver nights with blonde girls pledged sweet sixteenØ
,,The newsboys say the heat's been bad since Power Thirteen gave a trooper all he had in a summer scuffleØ
,,"And Power's girl, Little Angel, been on the corner keepin' those crazy boys out of troubleØ"
,,Little Angel steps the shuffle like she ain't got no brainsØ
,,She's death in combat down on Lover's LaneØ
,,She drives all them local boys insaneØ
,,"Little Angel says, ""Oh, oh, everybody form a lineØ"
,,"Oh, oh, everybody form a line""Ø"
,,Sparks light on E Street when the boy prophets walk it handsome and hotØ
,,All them little girls' souls grow weak when the man-child gives them a double shot
,,"Little Angel hangs out at Easy Joe's, it's a club where all the riot squad goes when they're cashin' in for a cheap hustleØ"
,,But them boys are still on the corner loose and doin' that lazy E StreetShuffleØ
,,As them sweet summer nights turn into summer dreamsØ
,,Little Angel picks up Power and he slips on his jeansØ
,,And they move on out down to the sceneØ
,,All the kids are dancin'Ø
,"4TH OF JULY, ASBURY PARK (SANDY)",Sandy the fireworks are hailin' over Little Eden tonight
,,Forcin' a light into all those stoned-out faces left stranded on this Fourth of July
,,Down in town the circuit's full with switchblade lovers so fast so shiny so sharp
,,And the wizards play down on Pinball Way on the boardwalk way past dark
,,And the boys from the casino dance with their shirts open like Latin lovers along the shore
,,Chasin' all them silly New York girls
,,
,,Sandy the aurora is risin' behind us
,,The pier lights our carnival life forever
,,Love me tonight for I may never see you again
,,Hey Sandy girl
,,
,,Now the greasers they tramp the streets or get busted for trying to sleep on the beach all night
,,Them boys in their spiked high heels ah Sandy their skins are so white
,,And me I just got tired of hangin' in them dusty arcades bangin' them pleasure machines
,,Chasin' the factory girls underneath the boardwalk where they promise to unsnap their jeans
,,And you know that tilt-a-whirl down on the south beach drag
,,I got on it last night and my shirt got caught
,,And that Joey kept me spinnin' I didn't think I'd ever get off
,,
,,Oh Sandy the aurora is risin' behind us
,,The pier lights our carnival life on the water
,,Runnin' down the beach at night with my boss's daughter
,,Well he ain't my boss no more Sandy
,,
,,"Sandy, the angels have lost our desire for us"
,,I spoke to 'em just last night and they said they won't set themselves on fire for us anymore
,,Every summer when the weather gets hot they ride that road down from heaven on their Harleys they come and they go
,,And you can see 'em dressed like stars in all the cheap little seashore bars parked making love with their babies out on the Kokomo
,,Well the cops finally busted Madame Marie for tellin' fortunes better than they do
,,This boardwalk life for me is through
,,You know you ought to quit this scene too
,,
,,"Sandy the aurora's rising behind us, the pier lights our carnival life forever"
,,Oh love me tonight and I promise I'll love you foreverØ
,Kitty's Back,Catlong sighs holding Kitty's black tooth
,,"She left to marry some top cat, ain't it the cold truth"
,,And there hasn't been a tally since Sally left the alley
,,Since Kitty left with Big Pretty things have got pretty thin
,,It's tight on this fence since them young dudes are musclin' in
,,
,,Jack Knife cries 'cause baby's in a bundle
,,"She goes running nightly, lightly through the jungle"
,,And them tin cans are explodin' out in the ninety-degree heat
,,Cat somehow lost his baby down on Bleecker Street
,,It's sad but it sure is true
,,"Cat shrugs his shoulders, sits back and sighs"
,,"OOh, what can I do, ooh, what can I do?"
,,"OOh, what can I do, ooh what can I do?"
,,
,,"Catlong lies back bent on a trash can,"
,,"Flashing lights cut the night, dude in the white says he's the man"
,,Well you better learn to move fast when you're young or you're not long around
,,Cat somehow lost his Kitty down in the city pound
,,"So get right, get tight, get down"
,,Well who's that down at the end of the alley?
,,She's been gone so long
,,
,,"Kitty's back in town, here she comes now"
,,Kitty's back in town
,,"Kitty's back in town, here she comes now"
,,Kitty's back in town
,,"Kitty's back in town, here she comes now"
,,Kitty's back in town
,,
,,Now Cat knows his Kitty's been untrue
,,And that she left him for a city dude
,,"But she's so soft, she's so blue"
,,When he looks into her eyes
,,He just sits back and sighs
,,"Ooh, what can I do, ooh, what can I do?"
,WILD BILLY'S CIRCUS STORY,The machinist climbs his ferris wheel like a brave
,,"And the fire eater's lyin' in a pool of sweat, victim of the heatwave"
,,Behind the tent the hired hand tightens his legs on the sword swallower's blade
,,And circus town's on the shortwave
,,
,,The runway lies ahead like a great false dawn
,,"Fat lady, big mama, Missy Bimbo sits in her chair and yawns"
,,And the man-beast lies in his cage sniffin' popcorn
,,As the midget licks his fingers and suffers Missy Bimbo's scorn
,,Circus town's been born
,,
,,"Whoa, and a press roll drummer go, ballerina to and fro"
,,Cartwheelin' up on that tightrope with a cannon blast lightin' flash
,,"Movin' fast through the tent Mars bent, he's gonna miss his fall"
,,Oh God save the human cannonball.
,,"And the flying Zambinis watch Margarita do her neck twist,"
,,"And the ringmaster gets the crowd to count along: ""Ninety-five, ninety-six, ninety-seven"""
,,"A ragged suitcase in his hand, he steals silently away from the circus grounds"
,,And the highway's haunted by the carnival sounds
,,They dance like a great greasepaint ghost on the wind
,,"A man in baggy pants, a lonely face, a crazy grin"
,,Runnin' home to some small Ohio town
,,Jesus send some good women to save all your clowns
,,
,,And circus boy dances like a monkey on barbed wire
,,"And the barker romances with a junkie, she's got a flat tire,"
,,And now the elephants dance real funky and the band plays like a jungle fire
,,Circus town's on the live wire
,,"And the strong man Sampson lifts the midget little Tiny Tim way up on his shoulders, way up"
,,"And carries him on down the midway past the kids, past the sailors"
,,To his dimly lit trailer
,,And the ferris wheel turns and turns like it ain't ever gonna stop
,,"And the circus boss leans over, whispers into the little boy's ear ""Hey son, you want to try the big top?"""
,,"All aboard, Nebraska's our next stop."
,INCIDENT ON 57TH STREET,Spanish Johnny drove in from the underworld last night
,,With bruised arms and broken rhythm in a beat-up old Buick
,,But dressed just like dynamite
,,He tried sellin' his heart to the hard girls over on Easy Street
,,"But they sighed ""Johnny it falls apart so easy and you know hearts these days are cheap"""
,,"And the pimps swung their axes and said ""Johnny you're a cheater."""
,,"Well the pimps swung their axes and said ""Johnny you're a liar"""
,,"And from out of the shadows came a young girl's voice said: ""Johnny don't cry"""
,,"Puerto Rican Jane, oh won't you tell me what's your name."
,,"I want to drive you down to the other side of town where paradise ain't so crowded, there'll be action goin' down on Shanty Lane tonight"
,,All them golden-heeled fairies in a real bitch fight
,,Pull .38s and kiss the girls good night
,,
,,"Oh good night, it's alright Jane"
,,Now let them black boys in to light the soul flame
,,We may find it out on the street tonight baby
,,Or we may walk until the daylight maybe
,,
,,"Well like a cool Romeo he made his moves, oh she looked so fine"
,,Like a late Juliet she knew he'd never be true but then she really didn't mind
,,"Upstairs a band was playin', the singer was singin' something about goin' home"
,,"She whispered, ""Spanish Johnny, you can leave me tonight but just don't leave me alone"""
,,
,,"And Johnny cried ""Puerto Rican Jane, word is down the cops have found the vein"""
,,Oh them barefoot boys left their homes for the woods
,,Them little barefoot street boys they say homes ain't no good
,,"They left the corners, threw away all their switchblade knives and kissed each other good-bye"
,,
,,Johnny was sittin' on the fire escape watchin' the kids playin' down the street
,,"He called down ""Hey little heroes, summer's long but I guess it ain't very sweet around here anymore"""
,,"Janey sleeps in sheets damp with sweat, Johnny sits up alone and watches her dream on, dream on"
,,"And the sister prays for lost souls, then breaks down in the chapel after everyone's gone"
,,
,,Jane moves over to share her pillow but opens her eyes to see Johnny up and putting his clothes on
,,"She says ""Those romantic young boys"
,,"All they ever want to do is fight"""
,,Those romantic young boys
,,They're callin' through the window
,,"""Hey Spanish Johnny, you want to make a little easy money tonight?"""
,,And Johnny whispered:
,,"Good night, it's all tight Jane"
,,I'll meet you tomorrow night on Lover's Lane
,,We may find it out on the street tonight baby
,,Or we may walk until the daylight maybeØ
,ROSALITA (COME OUT TONIGHT),"Spread out now Rosie, doctor come cut loose her mama's reins"
,,You know playin' blindman's bluff is a little baby's game
,,"You pick up Little Dynamite, I'm gonna pick up Little Gun"
,,And together we're gonna go out tonight and make that highway run
,,You don't have to call me lieutenant Rosie and I don't want to be your son
,,The only lover I'm ever gonna need's your soft sweet little girl's tongue
,,Rosie you're the one
,,Dynamite's in the belfry playin' with the bats
,,Little Gun's downtown in front of Woolworth's tryin' out his attitude on all the cats
,,Papa's on the corner waitin' for the bus
,,Mama she's home in the window waitin' up for us
,,She'll be there in that chair when they wrestle her upstairs
,,'Cause you know we ain't gonna come
,,I ain't here for business
,,I'm only here for fun
,,And Rosie you're the one
,,
,,Rosalita jump a little lighter
,,Senorita come sit by my fire
,,"I just want to be your love, ain't no lie"
,,Rosalita you're my stone desire
,,
,,"Jack the Rabbit and Weak Knees Willie, you know they're gonna be there"
,,"Ah, sloppy Sue and Big Bones Billie, they'll be comin' up for air"
,,"We're gonna play some pool, skip some school, act real cool"
,,"Stay out all night, it's gonna feel all right"
,,"So Rosie come out tonight, baby come out tonight"
,,"Windows are for cheaters, chimneys for the poor"
,,"Closets are for hangers, winners use the door"
,,"So use it Rosie, that's what it's there for"
,,
,,Rosalita jump a little lighter
,,Senorita come sit by my fire
,,"I just want to be your love, ain't no lie"
,,Rosalita you're my stone desire
,,
,,Now I know your mama she don't like me 'cause I play in a rock and roll band
,,And I know your daddy he don't dig me but he never did understand
,,"Papa lowered the boom, he locked you in your room"
,,I'm comin' to lend a hand
,,"I'm comin' to liberate you, confiscate you, I want to be your man"
,,Someday we'll look back on this and it will all seem funny
,,"But now you're sad, your mama's mad"
,,And your papa says he knows that I don't have any money
,,Tell him this is his last chance to get his daughter in a fine romance
,,"Because the record company, Rosie, just gave me a big advance"
,,My tires were slashed and I almost crashed but the Lord had mercy
,,"My machine she's a dud, I'm stuck in the mud somewhere in the swamps of Jersey"
,,"Hold on tight, stay up all night 'cause Rosie I'm comin' on strong"
,,By the time we meet the morning light I will hold you in my arms
,,I know a pretty little place in Southern California down San Diego way
,,There's a little cafe where they play guitars all night and day
,,You can hear them in the back room strummin'
,,So hold tight baby 'cause don't you know daddy's comin'Ø
,New York City Serenade,Billy he's down by the railroad tracks
,,Sittin' low in the back seat of his Cadillac
,,"Diamond Jackie, she's so intact"
,,As she falls so softly beneath him
,,Jackie's heels are stacked
,,Billy's got cleats on his boots
,,Together they're gonna boogaloo down Broadway and come back home with the loot
,,"It's midnight in Manhattan, this is no time to get cute"
,,It's a mad dog's promenade
,,So walk tall or baby don't walk at all
,,
,,"Fish lady, oh fish lady"
,,She baits them tenement walls
,,She won't take corner boys
,,They ain't got no money
,,And they're so easy
,,"I said ""Hey, baby"
,,Won't you take my hand
,,Walk with me down Broadway
,,"Well mama take my arm andñ move with me down Broadway"""
,,"I'm a young man, I talk it real loud"
,,Yeah babe I walk it real proud for you
,,Ah so shake it away
,,So shake away your street life
,,Shake away your city life
,,Hook up to the train
,,And hook up to the night train
,,Hook it up
,,Hook up to the train
,,"But I know that she won't take the train, no she won't take the train"
,,"Oh she won't take the train, no she won't take the train"
,,"Oh she won't take the train, no she won't take the train"
,,"Oh she won't take the train, no she won't take the train"
,,She's afraid them tracks are gonna slow her down
,,And when she turns this boy'll be gone
,,"So long, sometimes you just gotta walk on, walk on"
,,
,,"Hey vibes man, hey jazz man, play me your serenade"
,,Any deeper blue and you're playin' in your grave
,,"Save your notes, don't spend 'em on the blues boy"
,,"Save your notes, don't spend 'em on the darlin' yearlin' sharp boy"
,,"Straight for the church note ringin', vibes man sting a trash can"
,,Listen to your junk man
,,Listen to your junk man
,,Listen to your junk man
,,"He's singin', he's singin', he's singin'"
,,"All dressed up in satin, walkin' past the alley"
,,"He's singin', singin', singin', singin'"
Born to Run,Thunder Road,The screen door slams
,,Mary's dress waves
,,Like a vision she dances across the porch
,,As the radio plays
,,Roy Orbison singing for the lonely
,,Hey that's me and I want you only
,,Don't turn me home again
,,I just can't face myself alone again
,,Don't run back inside
,,darling you know just what I'm here for
,,So you're scared and you're thinking
,,That maybe we ain't that young anymore
,,"Show a little faith, there's magic in the night"
,,You ain't a beauty but hey you're all right
,,Oh and that's all right with me
,,
,,You can hide 'neath your covers
,,And study your pain
,,Make crosses from your lovers
,,Throw roses in the rain
,,Waste your summer praying in vain
,,For a savior to rise from these streets
,,Well now I'm no hero
,,That's understood
,,"All the redemption I can offer, girl"
,,Is beneath this dirty hood
,,With a chance to make it good somehow
,,Hey what else can we do now
,,Except roll down the window
,,And let the wind blow back your hair
,,Well the night's busting open
,,These two lanes will take us anywhere
,,We got one last chance to make it real
,,To trade in these wings on some wheels
,,"Climb in back, heaven's waiting on down the tracks"
,,Oh come take my hand
,,We're riding out tonight to case the promised land
,,"Oh Thunder Road, oh Thunder Road"
,,oh Thunder Road
,,Lying out there like a killer in the sun
,,Hey I know it's late we can make it if we run
,,"Oh Thunder Road, sit tight, take hold"
,,Thunder Road
,,
,,Well I got this guitar
,,And I learned how to make it talk
,,And my car's out back
,,If you're ready to take that long walk
,,From your front porch to my front seat
,,The door's open but the ride ain't free
,,And I know you're lonely
,,For words that I ain't spoken
,,But tonight we'll be free
,,All the promises'll be broken
,,There were ghosts in the eyes
,,Of all the boys you sent away
,,They haunt this dusty beach road
,,In the skeleton frames of burned-out Chevrolets
,,
,,They scream your name at night in the street
,,Your graduation gown lies in rags at their feet
,,And in the lonely cool before dawn
,,You hear their engines roaring on
,,But when you get to the porch they're gone on the wind
,,So Mary climb in
,,It's a town full of losers
,,And I'm pulling out of here to win.Ø
,TENTH AVENUE FREEZE-OUT,Tear drops on the city
,,Bad Scooter searching for his groove
,,Seem like the whole world walking pretty
,,And you can't find the room to move
,,"Well everybody better move over, that's all"
,,I'm running on the bad side
,,And I got my back to the wall
,,"Tenth Avenue freeze-out, Tenth Avenue freeze-out"
,,
,,I'm stranded in the jungle
,,Taking all the heat they was giving
,,The night is dark but the sidewalk's bright
,,And lined with the light of the living
,,From a tenement window a transistor blasts
,,Turn around the corner things got real quiet real fast
,,She hit me with a Tenth Avenue freeze-out
,,Tenth Avenue freeze-out
,,"And I'm all alone, I'm all alone"
,,And kid you better get the picture
,,"And I'm on my own, I'm on my own"
,,And I can't go home
,,
,,When the change was made uptown
,,And the Big Man joined the band
,,From the coastline to the city
,,All the little pretties raise their hands
,,I'm gonna sit back right easy and laugh
,,When Scooter and the Big Man bust this city in half
,,"With a Tenth Avenue freeze-out, Tenth Avenue freeze-out"
,,Tenth Avenue freeze-out...Ø
,Night,You get up every morning at the sound of the bell
,,You get to work late and the boss man's giving you hell
,,Till you're out on a midnight run
,,Losing your heart to a beautiful one
,,And it feels right as you lock up the house
,,Turn out the lights and step out into the night
,,
,,And the world is busting at its seams
,,And you're just a prisoner of your dreams
,,Holding on for your life 'cause you work all day
,,To blow 'em away in the night
,,
,,The rat traps filled with soul crusaders
,,The circuits lined and jammed with chromed invaders
,,And she's so pretty that you're lost in the stars
